Designator,Mid X,Mid Y,Rotation,Layer
C1,73.925,-84.6875,270.0,top
C10,96.5,-88.0,180.0,top
C11,96.5,-89.8,180.0,top
C12,96.5,-91.7,180.0,top
C13,102.2,-101.2,270.0,top
C14,104.0,-101.4,270.0,top
C15,103.7,-98.1,90.0,top
C16,102.2,-98.1,90.0,top
C17,89.0,-107.272054,180.0,top
C18,78.626634,-101.914394,180.0,top
C19,86.6,-115.1,270.0,top
C2,75.925,-84.6875,270.0,top
C20,81.0,-108.0,270.0,top
C21,81.3,-97.7,180.0,top
C22,81.5,-100.0,180.0,top
C23,84.0,-96.5,90.0,top
C24,85.5,-96.5,90.0,top
C25,83.5,-102.5,270.0,top
C26,85.0,-102.5,270.0,top
C27,67.25,-104.25,90.0,top
C3,77.925,-84.8825,270.0,top
C4,84.3,-87.0,270.0,top
C5,86.0,-87.0,270.0,top
C6,87.8,-87.0,270.0,top
C7,89.8,-87.0,270.0,top
C8,88.999695,-108.862547,180.0,top
C9,89.194525,-110.678131,180.0,top
D1,66.588814,-90.2016,0.0,top
D3,107.2,-106.5,180.0,top
D4,93.8,-114.2,90.0,top
D5,75.6,-106.5,0.0,top
DI3,70.710182,-109.8,0.0,top
F1,62.8,-82.371392,90.0,top
FB1,65.3,-82.371392,270.0,top
FB2,96.5,-86.0,180.0,top
IC1,94.0,-99.5,270.0,top
J1,68.5,-78.0,270.0,top
J2,98.0,-78.0,270.0,top
J3,111.0,-96.775,0.0,top
J4,98.2,-118.5,270.0,top
J5,68.5,-118.5,270.0,top
J6,80.7,-114.8,270.0,top
J7,63.3,-100.7,180.0,top
L1,91.3,-91.4,0.0,top
NCP692,81.0,-85.0,270.0,top
P2,91.7,-115.6,0.0,top
PROG1,110.25,-114.5,0.0,top
Q1,70.4,-83.821392,180.0,top
R1,65.0,-86.2516,270.0,top
R10,94.85,-114.25,270.0,top
R11,92.7,-89.4,180.0,top
R12,66.400182,-108.11,180.0,top
R13,66.400182,-111.3,180.0,top
R14,107.2,-105.0,180.0,top
R15,79.0,-107.925,90.0,top
R16,106.4,-97.9,180.0,top
R2,65.0,-94.0391,90.0,top
R3,74.0,-82.0,180.0,top
R4,81.0,-88.0,0.0,top
R5,55.6,-82.9,180.0,top
R9,57.210182,-101.85,180.0,top
SWD1,102.601167,-110.4,180.0,top
U3,78.0,-94.5,0.0,top
U4,95.5,-110.1,180.0,top
U5,70.5,-104.0,90.0,top
USB_DFP1,55.710182,-109.3,270.0,top
USB_UFP1,55.71481,-90.2516,270.0,top
Y1,84.34,-108.9975,270.0,top
Y2,85.5,-99.5,90.0,top
